case_number,date_filed,time_filed,crime_type_code,description,case_status,district_name,police_station,location_name,location_lat,location_lng,investigating_officer,year_filed,month_filed,hour_of_crime
KAR/KOP/2024/1544,2024-11-28,20:41:00,vehicle_theft,"Reported incident of vehicle theft at Near Rout, Koppal. Suspect vehicle noticed with plate KA-45-KB-2597.",open,Koppal,Koppal Town PS,"Near Rout, Koppal",15.3237,76.1783,Insp. Manan Banik,2024,11,20
KAR/VIJ/2024/1545,2024-10-01,13:09:00,cybercrime,"Reported incident of cybercrime at Near Khanna Street, Vijayapura.",open,Vijayapura,Vijayapura Market PS,"Near Khanna Street, Vijayapura",16.8213,75.7755,Insp. Manan Shroff,2024,10,13
KAR/CHI/2024/1546,2024-04-05,23:31:00,burglary,"Reported incident of burglary at Near Krish Zila, Chikkamagaluru.",under_investigation,Chikkamagaluru,Chikkamagaluru Market PS,"Near Krish Zila, Chikkamagaluru",13.3675,75.6896,Insp. Zarna Sura,2024,4,23
KAR/DAV/2024/1547,2025-03-23,13:30:00,vehicle_theft,"Reported incident of vehicle theft at Near Sawhney, Davangere. Suspect vehicle noticed with plate KA-26-A-8856.",open,Davangere,Davangere Market PS,"Near Sawhney, Davangere",14.4283,75.8599,Insp. Advay Verma,2025,3,13
KAR/BEN/2024/1548,2024-10-01,04:58:00,vehicle_theft,"Reported incident of vehicle theft at Near Chandra Circle, Bengaluru Urban. Suspect vehicle noticed with plate KA-50-P-4739.",closed,Bengaluru Urban,Bengaluru Urban South PS,"Near Chandra Circle, Bengaluru Urban",12.9906,77.5117,Insp. Jason Balakrishnan,2024,10,4
KAR/CHI/2024/1549,2025-04-28,06:13:00,drug_offence,"Reported incident of drug offence at Near Gill Chowk, Chikkamagaluru.",open,Chikkamagaluru,Chikkamagaluru Market PS,"Near Gill Chowk, Chikkamagaluru",13.3922,75.7376,Insp. Shivansh Sane,2025,4,6
KAR/RAI/2024/1550,2024-12-28,01:42:00,kidnapping,"Reported incident of kidnapping at Near Batta Street, Raichur.",open,Raichur,Raichur Town PS,"Near Batta Street, Raichur",16.1068,77.3565,Insp. Omisha Khanna,2024,12,1
KAR/BEN/2024/1551,2024-11-04,18:02:00,vehicle_theft,"Reported incident of vehicle theft at Near Chanda, Bengaluru Urban. Suspect vehicle noticed with plate KA-18-N-7888.",open,Bengaluru Urban,Bengaluru Urban West PS,"Near Chanda, Bengaluru Urban",12.9326,77.5474,Insp. Anthony Chandra,2024,11,18
KAR/MAN/2024/1552,2024-04-20,20:41:00,vehicle_theft,"Reported incident of vehicle theft at Near Palla Marg, Mandya. Suspect vehicle noticed with plate KA-55-KA-5027.",under_investigation,Mandya,Mandya Town PS,"Near Palla Marg, Mandya",12.5377,76.8807,Insp. Pranav Butala,2024,4,20
KAR/CHI/2024/1553,2024-12-23,07:40:00,vehicle_theft,"Reported incident of vehicle theft at Near Rege Circle, Chikkamagaluru. Suspect vehicle noticed with plate KA-18-A-2314.",open,Chikkamagaluru,Chikkamagaluru Industrial PS,"Near Rege Circle, Chikkamagaluru",13.3265,75.7999,Insp. Gopal Devan,2024,12,7
KAR/DAV/2024/1554,2024-06-04,03:54:00,assault,"Reported incident of assault at Near Subramaniam Nagar, Davangere.",open,Davangere,Davangere Market PS,"Near Subramaniam Nagar, Davangere",14.4102,75.832,Insp. Ucchal Morar,2024,6,3
KAR/BAL/2024/1555,2024-12-12,17:55:00,fraud,"Reported incident of fraud at Near Narasimhan Ganj, Ballari.",under_investigation,Ballari,Ballari Industrial PS,"Near Narasimhan Ganj, Ballari",15.15,76.954,Insp. Warinder Kuruvilla,2024,12,17
KAR/SHI/2024/1556,2024-02-23,22:18:00,eve_teasing,"Reported incident of eve teasing at Near Shanker Ganj, Shivamogga.",chargesheeted,Shivamogga,Shivamogga Suburban PS,"Near Shanker Ganj, Shivamogga",13.9386,75.5839,Insp. Yashawini Sabharwal,2024,2,22
KAR/BEL/2024/1557,2024-01-22,12:18:00,burglary,"Reported incident of burglary at Near Varkey Zila, Belagavi.",open,Belagavi,Belagavi Market PS,"Near Varkey Zila, Belagavi",15.7992,74.4636,Insp. Siya Chaudry,2024,1,12
KAR/VIJ/2024/1558,2024-05-19,08:25:00,vehicle_theft,"Reported incident of vehicle theft at Near Pandya Marg, Vijayapura. Suspect vehicle noticed with plate KA-55-KB-6844.",under_investigation,Vijayapura,Vijayapura Rural PS,"Near Pandya Marg, Vijayapura",16.8512,75.661,Insp. Owen Ravel,2024,5,8
KAR/VIJ/2024/1559,2024-02-09,03:16:00,robbery,"Reported incident of robbery at Near Dhar Circle, Vijayapura. Suspect vehicle noticed with plate KA-36-P-2643.",open,Vijayapura,Vijayapura Rural PS,"Near Dhar Circle, Vijayapura",16.8099,75.6704,Insp. Qarin Ravi,2024,2,3
KAR/BEN/2024/1560,2024-06-29,23:27:00,fraud,"Reported incident of fraud at Near Varma Nagar, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban North PS,"Near Varma Nagar, Bengaluru Urban",12.9749,77.608,Insp. Vrinda Ramesh,2024,6,23
KAR/BEN/2024/1561,2024-01-20,14:36:00,senior_citizen_crime,"Reported incident of senior citizen crime at Near Sabharwal Road, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban East PS,"Near Sabharwal Road, Bengaluru Urban",13.0691,77.5821,Insp. Warhi Bahl,2024,1,14
KAR/TUM/2024/1562,2025-03-17,04:54:00,robbery,"Reported incident of robbery at Near Trivedi Nagar, Tumakuru. Suspect vehicle noticed with plate KA-38-B-5222.",chargesheeted,Tumakuru,Tumakuru Suburban PS,"Near Trivedi Nagar, Tumakuru",13.2791,77.0856,Insp. Krishna Raghavan,2025,3,4
KAR/DAV/2024/1563,2025-05-04,00:36:00,kidnapping,"Reported incident of kidnapping at Near Kohli Ganj, Davangere.",open,Davangere,Davangere Rural PS,"Near Kohli Ganj, Davangere",14.4121,75.8358,Insp. Guneet Issac,2025,5,0
KAR/RAI/2024/1564,2025-03-05,07:15:00,burglary,"Reported incident of burglary at Near Mody Path, Raichur.",open,Raichur,Raichur Traffic PS,"Near Mody Path, Raichur",16.1149,77.3534,Insp. Samaksh Brar,2025,3,7
KAR/MAN/2024/1565,2024-01-26,00:30:00,property_crime,"Reported incident of property crime at Near Mishra Zila, Mandya.",chargesheeted,Mandya,Mandya Industrial PS,"Near Mishra Zila, Mandya",12.503,76.9556,Insp. Hiral Gara,2024,1,0
KAR/MAN/2024/1566,2024-02-17,17:00:00,robbery,"Reported incident of robbery at Near Master Ganj, Mangaluru (Dakshina Kannada). Suspect vehicle noticed with plate KA-18-N-7132.",open,Mangaluru (Dakshina Kannada),Mangaluru (Dakshina Kannada) Market PS,"Near Master Ganj, Mangaluru (Dakshina Kannada)",12.9845,74.8657,Insp. Nimrat Kapur,2024,2,17
KAR/MYS/2024/1567,2024-11-23,07:51:00,chain_snatching,"Reported incident of chain snatching at Near Anand Path, Mysuru. Suspect vehicle noticed with plate KA-03-M-6700.",open,Mysuru,Mysuru South PS,"Near Anand Path, Mysuru",12.2687,76.6241,Insp. Praneel Om,2024,11,7
KAR/BEN/2024/1568,2025-03-11,10:03:00,chain_snatching,"Reported incident of chain snatching at Near Dyal Ganj, Bengaluru Urban. Suspect vehicle noticed with plate KA-20-A-8240.",chargesheeted,Bengaluru Urban,Bengaluru Urban North PS,"Near Dyal Ganj, Bengaluru Urban",12.9777,77.6077,Insp. Janaki Mahajan,2025,3,10
KAR/MAN/2024/1569,2024-12-25,10:55:00,robbery,"Reported incident of robbery at Near Butala Nagar, Mandya. Suspect vehicle noticed with plate KA-05-N-2300.",under_investigation,Mandya,Mandya Town PS,"Near Butala Nagar, Mandya",12.5668,76.8728,Insp. Zashil Mitra,2024,12,10
KAR/SHI/2024/1570,2024-08-23,21:55:00,murder,"Reported incident of murder at Near Puri Road, Shivamogga.",under_investigation,Shivamogga,Shivamogga Rural PS,"Near Puri Road, Shivamogga",13.9128,75.5457,Insp. Harish Sridhar,2024,8,21
KAR/BEN/2024/1571,2024-05-28,11:39:00,chain_snatching,"Reported incident of chain snatching at Near Chaudry Street, Bengaluru Urban. Suspect vehicle noticed with plate KA-28-KA-4518.",open,Bengaluru Urban,Bengaluru Urban North PS,"Near Chaudry Street, Bengaluru Urban",12.949,77.5924,Insp. Neel Palla,2024,5,11
KAR/MYS/2024/1572,2024-08-19,19:57:00,burglary,"Reported incident of burglary at Near Vasa Street, Mysuru.",open,Mysuru,Mysuru Central PS,"Near Vasa Street, Mysuru",12.2147,76.6873,Insp. Amruta Balay,2024,8,19
KAR/HUB/2024/1573,2024-03-29,05:38:00,assault,"Reported incident of assault at Near Lall Circle, Hubballi-Dharwad.",open,Hubballi-Dharwad,Hubballi-Dharwad Town PS,"Near Lall Circle, Hubballi-Dharwad",15.4234,75.1516,Insp. Anvi Jhaveri,2024,3,5
KAR/BEN/2024/1574,2024-09-11,20:06:00,robbery,"Reported incident of robbery at Near Jhaveri, Bengaluru Rural. Suspect vehicle noticed with plate KA-39-P-7766.",open,Bengaluru Rural,Bengaluru Rural Central PS,"Near Jhaveri, Bengaluru Rural",13.2121,77.5616,Insp. Anika Kibe,2024,9,20
KAR/KOP/2024/1575,2025-03-11,00:52:00,vehicle_theft,"Reported incident of vehicle theft at Near Chowdhury Chowk, Koppal. Suspect vehicle noticed with plate KA-23-KB-5082.",chargesheeted,Koppal,Koppal Town PS,"Near Chowdhury Chowk, Koppal",15.3227,76.209,Insp. Yuvraj More,2025,3,0
KAR/BEN/2024/1576,2025-05-10,06:48:00,vehicle_theft,"Reported incident of vehicle theft at Near Ramanathan Circle, Bengaluru Urban. Suspect vehicle noticed with plate KA-32-N-3199.",open,Bengaluru Urban,Bengaluru Urban West PS,"Near Ramanathan Circle, Bengaluru Urban",12.9201,77.5414,Insp. Umang Chander,2025,5,6
KAR/BID/2024/1577,2024-11-28,12:49:00,drug_offence,"Reported incident of drug offence at Near Mandal Chowk, Bidar.",open,Bidar,Bidar Market PS,"Near Mandal Chowk, Bidar",17.8573,77.5308,Insp. Indrajit Desai,2024,11,12
KAR/BEN/2024/1578,2025-05-14,08:07:00,fraud,"Reported incident of fraud at Near Nayar Nagar, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban North PS,"Near Nayar Nagar, Bengaluru Urban",12.9729,77.5877,Insp. Gauri Parikh,2025,5,8
KAR/RAI/2024/1579,2024-08-03,05:39:00,burglary,"Reported incident of burglary at Near Mohanty Nagar, Raichur.",open,Raichur,Raichur Market PS,"Near Mohanty Nagar, Raichur",16.1719,77.314,Insp. Udyati Cherian,2024,8,5
KAR/BEL/2024/1580,2024-03-21,11:47:00,vehicle_theft,"Reported incident of vehicle theft at Near Saini Zila, Belagavi. Suspect vehicle noticed with plate KA-12-P-5837.",closed,Belagavi,Belagavi Suburban PS,"Near Saini Zila, Belagavi",15.8082,74.4565,Insp. Charvi Bahl,2024,3,11
KAR/MAN/2024/1581,2025-02-26,07:03:00,burglary,"Reported incident of burglary at Near Joshi Ganj, Mangaluru (Dakshina Kannada).",chargesheeted,Mangaluru (Dakshina Kannada),Mangaluru (Dakshina Kannada) Rural PS,"Near Joshi Ganj, Mangaluru (Dakshina Kannada)",12.9316,74.7979,Insp. Oliver Salvi,2025,2,7
KAR/MAN/2024/1582,2024-05-04,01:44:00,fraud,"Reported incident of fraud at Near Sandhu, Mangaluru (Dakshina Kannada).",chargesheeted,Mangaluru (Dakshina Kannada),Mangaluru (Dakshina Kannada) Market PS,"Near Sandhu, Mangaluru (Dakshina Kannada)",13.0078,74.896,Insp. Jeremiah Uppal,2024,5,1
KAR/MAN/2024/1583,2024-05-09,05:04:00,domestic_violence,"Reported incident of domestic violence at Near Murthy Marg, Mandya.",under_investigation,Mandya,Mandya Rural PS,"Near Murthy Marg, Mandya",12.551,76.9504,Insp. Hema Chakraborty,2024,5,5
KAR/BEN/2024/1584,2024-11-26,18:29:00,murder,"Reported incident of murder at Near Chaudhary Road, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Chaudhary Road, Bengaluru Urban",12.9726,77.6626,Insp. Isha Krishnan,2024,11,18
KAR/BEN/2024/1585,2025-02-09,03:48:00,burglary,"Reported incident of burglary at Near Dass Road, Bengaluru Urban.",chargesheeted,Bengaluru Urban,Bengaluru Urban Central PS,"Near Dass Road, Bengaluru Urban",12.9104,77.5775,Insp. Aryan Garde,2025,2,3
KAR/BEN/2024/1586,2024-02-25,12:53:00,assault,"Reported incident of assault at Near Bumb Nagar, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban North PS,"Near Bumb Nagar, Bengaluru Urban",12.9525,77.5878,Insp. Wridesh Deshmukh,2024,2,12
KAR/VIJ/2024/1587,2024-03-09,03:16:00,vehicle_theft,"Reported incident of vehicle theft at Near Kulkarni Nagar, Vijayapura. Suspect vehicle noticed with plate KA-07-N-4277.",open,Vijayapura,Vijayapura Rural PS,"Near Kulkarni Nagar, Vijayapura",16.8586,75.653,Insp. Gauri Shanker,2024,3,3
KAR/BEN/2024/1588,2024-04-22,13:58:00,vehicle_theft,"Reported incident of vehicle theft at Near Borah Street, Bengaluru Rural. Suspect vehicle noticed with plate KA-23-N-1269.",under_investigation,Bengaluru Rural,Bengaluru Rural South PS,"Near Borah Street, Bengaluru Rural",13.1651,77.5839,Insp. Dayamai Wali,2024,4,13
KAR/HAS/2024/1589,2024-10-27,12:40:00,burglary,"Reported incident of burglary at Near Zachariah Chowk, Hassan.",open,Hassan,Hassan Traffic PS,"Near Zachariah Chowk, Hassan",12.9616,76.0258,Insp. Lila Char,2024,10,12
KAR/BEN/2024/1590,2024-10-12,21:24:00,vehicle_theft,"Reported incident of vehicle theft at Near Grover Nagar, Bengaluru Urban. Suspect vehicle noticed with plate KA-52-B-8567.",open,Bengaluru Urban,Bengaluru Urban South PS,"Near Grover Nagar, Bengaluru Urban",12.9815,77.5411,Insp. Eshana Choudhry,2024,10,21
KAR/SHI/2024/1591,2025-03-12,06:23:00,murder,"Reported incident of murder at Near Patel Marg, Shivamogga.",open,Shivamogga,Shivamogga Industrial PS,"Near Patel Marg, Shivamogga",13.8433,75.5928,Insp. Gauri Garg,2025,3,6
KAR/KOP/2024/1592,2024-01-03,16:20:00,vehicle_theft,"Reported incident of vehicle theft at Near Bhargava Zila, Koppal. Suspect vehicle noticed with plate KA-13-N-7965.",open,Koppal,Koppal Market PS,"Near Bhargava Zila, Koppal",15.4035,76.2526,Insp. Zayan Dasgupta,2024,1,16
KAR/VIJ/2024/1593,2024-03-26,06:17:00,burglary,"Reported incident of burglary at Near Kamdar Zila, Vijayapura.",open,Vijayapura,Vijayapura Town PS,"Near Kamdar Zila, Vijayapura",16.9291,75.7571,Insp. Maanas Chanda,2024,3,6
KAR/CHI/2024/1594,2024-12-05,22:26:00,assault,"Reported incident of assault at Near Barad Path, Chikkamagaluru.",under_investigation,Chikkamagaluru,Chikkamagaluru Suburban PS,"Near Barad Path, Chikkamagaluru",13.4116,75.8286,Insp. Damini Yogi,2024,12,22
KAR/MAN/2024/1595,2024-05-22,15:35:00,robbery,"Reported incident of robbery at Near Virk Ganj, Mandya. Suspect vehicle noticed with plate KA-32-P-7129.",under_investigation,Mandya,Mandya Traffic PS,"Near Virk Ganj, Mandya",12.5251,76.9224,Insp. Farhan Sachar,2024,5,15
KAR/BEN/2024/1596,2024-01-25,23:34:00,fraud,"Reported incident of fraud at Near Murthy Marg, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban Central PS,"Near Murthy Marg, Bengaluru Urban",12.9247,77.5732,Insp. Raagini Agate,2024,1,23
KAR/DAV/2024/1597,2024-05-06,18:13:00,chain_snatching,"Reported incident of chain snatching at Near Datta Path, Davangere. Suspect vehicle noticed with plate KA-41-KB-1846.",under_investigation,Davangere,Davangere Market PS,"Near Datta Path, Davangere",14.4258,75.8223,Insp. Janya Sarna,2024,5,18
KAR/BEN/2024/1598,2024-11-21,22:03:00,chain_snatching,"Reported incident of chain snatching at Near Virk Circle, Bengaluru Rural. Suspect vehicle noticed with plate KA-01-A-9034.",open,Bengaluru Rural,Bengaluru Rural North PS,"Near Virk Circle, Bengaluru Rural",13.2475,77.5076,Insp. Nirja Varughese,2024,11,22
KAR/MAN/2024/1599,2024-02-08,21:26:00,burglary,"Reported incident of burglary at Near Kumar Ganj, Mangaluru (Dakshina Kannada).",open,Mangaluru (Dakshina Kannada),Mangaluru (Dakshina Kannada) Industrial PS,"Near Kumar Ganj, Mangaluru (Dakshina Kannada)",12.8712,74.8565,Insp. Nihal Modi,2024,2,21
KAR/BEN/2024/1600,2024-10-31,18:04:00,eve_teasing,"Reported incident of eve teasing at Near Ganesan, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Ganesan, Bengaluru Urban",12.95,77.6512,Insp. Falguni Pai,2024,10,18
KAR/BEN/2024/1601,2025-03-26,12:56:00,drug_offence,"Reported incident of drug offence at Near Minhas, Bengaluru Urban.",chargesheeted,Bengaluru Urban,Bengaluru Urban West PS,"Near Minhas, Bengaluru Urban",12.9342,77.5579,Insp. Aarav Sura,2025,3,12
KAR/BID/2024/1602,2024-07-30,23:54:00,burglary,"Reported incident of burglary at Near Vora Nagar, Bidar.",open,Bidar,Bidar Rural PS,"Near Vora Nagar, Bidar",17.9488,77.46,Insp. Nisha Mishra,2024,7,23
KAR/BEN/2024/1603,2024-04-13,02:17:00,robbery,"Reported incident of robbery at Near Ganguly Chowk, Bengaluru Urban. Suspect vehicle noticed with plate KA-09-N-2565.",open,Bengaluru Urban,Bengaluru Urban North PS,"Near Ganguly Chowk, Bengaluru Urban",12.9573,77.5792,Insp. Ganga Pant,2024,4,2
KAR/BEN/2024/1604,2024-10-02,09:11:00,assault,"Reported incident of assault at Near Sanghvi Ganj, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban North PS,"Near Sanghvi Ganj, Bengaluru Urban",12.9705,77.5774,Insp. Dalaja Shroff,2024,10,9
KAR/MYS/2024/1605,2025-02-19,02:03:00,vehicle_theft,"Reported incident of vehicle theft at Near Kalla Chowk, Mysuru. Suspect vehicle noticed with plate KA-53-N-2258.",under_investigation,Mysuru,Mysuru South PS,"Near Kalla Chowk, Mysuru",12.2587,76.6207,Insp. Daksha Kant,2025,2,2
KAR/BID/2024/1606,2024-12-01,16:37:00,assault,"Reported incident of assault at Near Krish Street, Bidar.",open,Bidar,Bidar Town PS,"Near Krish Street, Bidar",17.9913,77.5728,Insp. Qushi Lanka,2024,12,16
KAR/BEN/2024/1607,2024-05-07,15:27:00,fraud,"Reported incident of fraud at Near Chanda Ganj, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Chanda Ganj, Bengaluru Urban",12.9627,77.6429,Insp. Turvi Kari,2024,5,15
KAR/BEN/2024/1608,2024-06-07,23:37:00,chain_snatching,"Reported incident of chain snatching at Near Bhatti Path, Bengaluru Urban. Suspect vehicle noticed with plate KA-55-M-7745.",open,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Bhatti Path, Bengaluru Urban",12.9475,77.6723,Insp. Raksha Sahni,2024,6,23
KAR/BEN/2024/1609,2024-04-14,01:12:00,hit_and_run,"Reported incident of hit and run at Near Chaudhuri Path, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban South PS,"Near Chaudhuri Path, Bengaluru Urban",12.9892,77.5472,Insp. Balvan Sami,2024,4,1
KAR/BEN/2024/1610,2025-03-27,00:27:00,domestic_violence,"Reported incident of domestic violence at Near Bala Marg, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban South PS,"Near Bala Marg, Bengaluru Urban",12.9621,77.5013,Insp. Aachal Rajan,2025,3,0
KAR/BEN/2024/1611,2024-11-29,02:37:00,property_crime,"Reported incident of property crime at Near Anne Path, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban South PS,"Near Anne Path, Bengaluru Urban",12.9718,77.5477,Insp. Advaith Murthy,2024,11,2
KAR/HAS/2024/1612,2025-01-28,15:23:00,property_crime,"Reported incident of property crime at Near Mannan Ganj, Hassan.",chargesheeted,Hassan,Hassan Traffic PS,"Near Mannan Ganj, Hassan",12.9145,76.0203,Insp. David Oak,2025,1,15
KAR/KAL/2024/1613,2025-05-16,16:09:00,eve_teasing,"Reported incident of eve teasing at Near Wali Zila, Kalaburagi.",under_investigation,Kalaburagi,Kalaburagi Rural PS,"Near Wali Zila, Kalaburagi",17.2617,76.7759,Insp. Urvi Mitter,2025,5,16
KAR/MAN/2024/1614,2024-05-11,06:01:00,robbery,"Reported incident of robbery at Near Shan Ganj, Mangaluru (Dakshina Kannada). Suspect vehicle noticed with plate KA-14-KB-7200.",open,Mangaluru (Dakshina Kannada),Mangaluru (Dakshina Kannada) Industrial PS,"Near Shan Ganj, Mangaluru (Dakshina Kannada)",12.89,74.8293,Insp. Ranveer Naidu,2024,5,6
KAR/BEN/2024/1615,2024-08-17,21:35:00,chain_snatching,"Reported incident of chain snatching at Near Nagarajan Circle, Bengaluru Urban. Suspect vehicle noticed with plate KA-41-M-1658.",under_investigation,Bengaluru Urban,Bengaluru Urban West PS,"Near Nagarajan Circle, Bengaluru Urban",12.9059,77.5705,Insp. Yachana Bhattacharyya,2024,8,21
KAR/KAL/2024/1616,2025-05-24,09:41:00,kidnapping,"Reported incident of kidnapping at Near Sinha Zila, Kalaburagi.",chargesheeted,Kalaburagi,Kalaburagi Industrial PS,"Near Sinha Zila, Kalaburagi",17.2732,76.8643,Insp. Ikbal Dhawan,2025,5,9
KAR/BEN/2024/1617,2024-09-12,05:55:00,burglary,"Reported incident of burglary at Near Sharma Chowk, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban North PS,"Near Sharma Chowk, Bengaluru Urban",12.9356,77.6253,Insp. Chanchal Rout,2024,9,5
KAR/KOL/2024/1618,2025-05-03,00:13:00,cybercrime,"Reported incident of cybercrime at Near Manda Path, Kolar.",open,Kolar,Kolar Rural PS,"Near Manda Path, Kolar",13.2049,78.0731,Insp. Michael Rai,2025,5,0
KAR/BEN/2024/1619,2024-03-26,06:44:00,fraud,"Reported incident of fraud at Near Kakar Ganj, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Central PS,"Near Kakar Ganj, Bengaluru Urban",12.9504,77.5601,Insp. Adya Dara,2024,3,6
KAR/BEN/2024/1620,2024-12-10,11:18:00,senior_citizen_crime,"Reported incident of senior citizen crime at Near Arora Circle, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban West PS,"Near Arora Circle, Bengaluru Urban",12.8929,77.5844,Insp. Dhruv Natt,2024,12,11
KAR/BAL/2024/1621,2024-05-26,08:00:00,fraud,"Reported incident of fraud at Near Nori Marg, Ballari.",open,Ballari,Ballari Traffic PS,"Near Nori Marg, Ballari",15.1599,76.8657,Insp. Nathan Parsa,2024,5,8
KAR/MYS/2024/1622,2024-06-08,10:40:00,drug_offence,"Reported incident of drug offence at Near Tripathi Road, Mysuru.",under_investigation,Mysuru,Mysuru East PS,"Near Tripathi Road, Mysuru",12.2698,76.69,Insp. Matthew Murty,2024,6,10
KAR/BEN/2024/1623,2024-11-17,13:55:00,fraud,"Reported incident of fraud at Near Pingle Road, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban South PS,"Near Pingle Road, Bengaluru Urban",12.9835,77.4977,Insp. Sara Ratti,2024,11,13
KAR/HUB/2024/1624,2024-04-24,20:52:00,assault,"Reported incident of assault at Near Gandhi Nagar, Hubballi-Dharwad.",open,Hubballi-Dharwad,Hubballi-Dharwad Town PS,"Near Gandhi Nagar, Hubballi-Dharwad",15.3712,75.1481,Insp. Abhiram Banik,2024,4,20
KAR/BEN/2024/1625,2025-02-09,02:31:00,cybercrime,"Reported incident of cybercrime at Near Nayar, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Nayar, Bengaluru Urban",12.9805,77.6421,Insp. Chandran Sridhar,2025,2,2
KAR/KOP/2024/1626,2024-12-07,01:41:00,vehicle_theft,"Reported incident of vehicle theft at Near Raman Road, Koppal. Suspect vehicle noticed with plate KA-04-KB-7691.",open,Koppal,Koppal Industrial PS,"Near Raman Road, Koppal",15.3373,76.1927,Insp. Aarush Chopra,2024,12,1
KAR/KAL/2024/1627,2024-11-20,11:13:00,chain_snatching,"Reported incident of chain snatching at Near Chopra, Kalaburagi. Suspect vehicle noticed with plate KA-19-B-6662.",open,Kalaburagi,Kalaburagi Traffic PS,"Near Chopra, Kalaburagi",17.3348,76.8055,Insp. Hemal Ramachandran,2024,11,11
KAR/TUM/2024/1628,2024-01-01,15:42:00,fraud,"Reported incident of fraud at Near Tata Chowk, Tumakuru.",open,Tumakuru,Tumakuru Market PS,"Near Tata Chowk, Tumakuru",13.3513,77.1114,Insp. Amaira Kumer,2024,1,15
KAR/MYS/2024/1629,2024-11-06,15:49:00,vehicle_theft,"Reported incident of vehicle theft at Near Zachariah Road, Mysuru. Suspect vehicle noticed with plate KA-35-KA-9934.",open,Mysuru,Mysuru South PS,"Near Zachariah Road, Mysuru",12.2296,76.6175,Insp. Kiaan Bhargava,2024,11,15
KAR/BEN/2024/1630,2024-04-22,22:12:00,cybercrime,"Reported incident of cybercrime at Near Char Chowk, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban North PS,"Near Char Chowk, Bengaluru Urban",12.9245,77.6163,Insp. Lopa Mital,2024,4,22
KAR/DAV/2024/1631,2024-11-12,02:25:00,vehicle_theft,"Reported incident of vehicle theft at Near Kumar Circle, Davangere. Suspect vehicle noticed with plate KA-36-KB-8478.",open,Davangere,Davangere Market PS,"Near Kumar Circle, Davangere",14.4598,75.8296,Insp. Kiaan Sur,2024,11,2
KAR/TUM/2024/1632,2024-10-29,22:55:00,cybercrime,"Reported incident of cybercrime at Near Jhaveri Marg, Tumakuru.",under_investigation,Tumakuru,Tumakuru Rural PS,"Near Jhaveri Marg, Tumakuru",13.3383,77.1091,Insp. Yauvani Bath,2024,10,22
KAR/MAN/2024/1633,2024-10-05,07:06:00,eve_teasing,"Reported incident of eve teasing at Near Dutt Chowk, Mandya.",under_investigation,Mandya,Mandya Industrial PS,"Near Dutt Chowk, Mandya",12.5097,76.9539,Insp. Lavanya Murthy,2024,10,7
KAR/BEN/2024/1634,2024-05-22,03:23:00,vehicle_theft,"Reported incident of vehicle theft at Near Loyal Nagar, Bengaluru Rural. Suspect vehicle noticed with plate KA-25-N-6791.",closed,Bengaluru Rural,Bengaluru Rural South PS,"Near Loyal Nagar, Bengaluru Rural",13.1545,77.6075,Insp. Maya Bose,2024,5,3
KAR/KOP/2024/1635,2024-11-20,19:24:00,chain_snatching,"Reported incident of chain snatching at Near Morar Nagar, Koppal. Suspect vehicle noticed with plate KA-05-A-7361.",closed,Koppal,Koppal Traffic PS,"Near Morar Nagar, Koppal",15.3795,76.1971,Insp. Ronith Walla,2024,11,19
KAR/SHI/2024/1636,2024-10-09,04:23:00,fraud,"Reported incident of fraud at Near Bhatnagar, Shivamogga.",under_investigation,Shivamogga,Shivamogga Rural PS,"Near Bhatnagar, Shivamogga",13.8791,75.5423,Insp. Tejas Pau,2024,10,4
KAR/BEN/2024/1637,2024-10-20,07:36:00,cybercrime,"Reported incident of cybercrime at Near Shukla Nagar, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban West PS,"Near Shukla Nagar, Bengaluru Urban",12.9263,77.5805,Insp. Yasti Keer,2024,10,7
